order_id,customer_id,order_date,status,region_code
598,252,2025-09-14 01:49:01,SHIPPED,WEST
423,103,2026-07-12 12:53:09,RETURNED,EAST
505,140,2025-09-01 20:11:15,CANCELLED,SOUTH
661,43,2025-08-12 08:07:25,PLACED,WEST
41,352,2026-01-30 11:54:30,CANCELLED,SOUTH
769,104,2025-08-29 16:21:13,CANCELLED,WEST
771,17,2026-05-21 18:17:43,PLACED,WEST
575,496,2026-02-20 14:59:41,SHIPPED,WEST
376,,2026-02-06 14:13:36,CANCELLED,WEST
255,23,2026-03-23 00:17:57,CANCELLED,SOUTH
56,252,2025-09-05 06:47:48,PLACED,SOUTH
650,100,2025-12-05 08:01:55,DELIVERED,SOUTH
448,252,2026-02-20 18:07:59,SHIPPED,SOUTH
640,344,2026-01-15 13:11:40,PLACED,EAST
16,122,2026-02-08 14:39:10,DELIVERED,SOUTH
711,445,2026-04-12 21:45:05,DELIVERED,NORTH
648,28,2025-08-25 05:49:53,SHIPPED,SOUTH
23,410,2026-05-03 03:05:00,DELIVERED,NORTH
697,152,2026-07-12 21:20:30,DELIVERED,SOUTH
199,300,03-02-2026,PLACED,EAST
708,213,2026-05-10 14:05:42,DELIVERED,SOUTH
369,398,2026-01-18 22:29:46,CANCELLED,SOUTH
132,58,2025-10-07 13:41:25,CANCELLED,NORTH
228,248,2026-02-21 06:40:25,PLACED,SOUTH
787,346,2026-06-04 05:17:45,CANCELLED,EAST
784,,2025-10-29 06:34:13,CANCELLED,WEST
719,252,2026-06-08 23:54:29,SHIPPED,NORTH
357,86,2026-02-12 22:09:29,RETURNED,NORTH
316,333,2025-11-10 23:14:29,SHIPPED,EAST
614,33,2025-09-27 15:14:30,DELIVERED,WEST
244,473,2025-10-18 01:29:11,CANCELLED,NORTH
58,310,2025-08-30 13:01:14,SHIPPED,WEST
91,446,2026-05-31 18:59:28,SHIPPED,SOUTH
511,19,2026-04-20 05:37:35,RETURNED,NORTH
161,281,2025-10-12 18:15:27,RETURNED,SOUTH
5,471,2025-09-07 13:05:17,DELIVERED,NORTH
611,200,2026-01-26 00:47:18,DELIVERED,WEST
456,203,2026-05-12 18:47:48,PLACED,WEST
22,296,2025-10-15 01:42:50,SHIPPED,SOUTH
173,,2025-09-16 21:18:22,RETURNED,WEST
281,142,2025-09-28 17:05:56,SHIPPED,WEST
372,350,2026-02-12 03:33:50,RETURNED,SOUTH
182,267,09-12-2025,RETURNED,SOUTH
67,429,2025-09-03 18:38:50,PLACED,EAST
164,390,2026-02-27 05:23:01,CANCELLED,WEST
731,211,2025-11-25 22:41:06,SHIPPED,NORTH
412,212,2025-09-25 13:02:20,DELIVERED,SOUTH
377,360,2025-11-10 01:32:29,PLACED,EAST
101,53,2026-06-14 05:48:41,RETURNED,EAST
667,171,2026-02-21 21:17:31,DELIVERED,WEST
601,38,02-08-2026,DELIVERED,WEST
458,453,2025-12-07 06:04:19,DELIVERED,WEST
260,,2025-08-16 20:23:11,PLACED,NORTH
108,131,2025-09-24 21:21:25,RETURNED,NORTH
474,227,08-10-2025,RETURNED,NORTH
450,114,2026-05-01 02:40:50,SHIPPED,SOUTH
9,70,2025-10-07 00:56:41,CANCELLED,WEST
221,324,04-12-2025,RETURNED,WEST
270,308,2026-04-01 18:23:57,PLACED,EAST
565,464,2025-10-22 15:49:28,DELIVERED,WEST
529,16,11-05-2026,PLACED,EAST
104,462,2026-02-01 19:13:10,SHIPPED,SOUTH
555,357,2026-02-19 10:43:52,CANCELLED,SOUTH
540,339,13-10-2025,SHIPPED,SOUTH
720,142,2025-08-05 20:32:36,PLACED,EAST
561,270,2025-12-12 14:48:30,DELIVERED,WEST
178,434,2025-11-02 17:58:08,DELIVERED,WEST
94,91,2025-12-21 22:05:01,PLACED,NORTH
25,83,2026-03-19 04:35:06,RETURNED,NORTH
29,370,2025-11-21 14:39:15,RETURNED,EAST
235,465,2025-10-12 02:51:19,CANCELLED,EAST
608,324,2026-03-08 22:14:19,PLACED,EAST
234,460,2025-08-13 20:01:26,RETURNED,EAST
516,140,2025-11-11 20:12:51,DELIVERED,NORTH
557,96,2026-01-10 07:37:49,PLACED,WEST
615,428,2026-05-22 09:34:38,PLACED,NORTH
538,91,2026-05-12 23:22:00,CANCELLED,NORTH
36,454,2026-04-19 02:46:54,SHIPPED,WEST
670,466,2025-08-07 09:35:29,PLACED,NORTH
3,113,26-01-2026,CANCELLED,NORTH
201,475,2026-01-27 17:26:40,CANCELLED,NORTH
133,336,2025-12-03 19:09:24,RETURNED,SOUTH
159,494,2026-01-11 16:04:53,DELIVERED,WEST
752,57,2025-10-24 09:42:25,CANCELLED,EAST
354,22,2026-07-17 09:27:30,RETURNED,NORTH
