item_id,order_id,product_id,quantity,unit_price,discount_percent
1,327,441,2,5083.5,26.69
2,294,331,3,3627.33,40.59
3,117,77,-4,4792.42,31.05
4,498,287,7,5438.65,20.2
5,280,70,1,4831.05,65.87
6,181,330,1,2940.76,1.99
7,86,161,10,428.31,95.51
8,373,344,2,5046.87,84.28
9,242,58,10,5600.97,52.2
10,595,487,9,5313.16,23.81
11,126,396,6,3526.74,39.0
12,767,381,4,1347.15,10.68
13,220,497,5,1563.12,58.95
14,503,274,6,722.12,54.57
15,487,350,4,5282.63,93.7
16,372,244,6,175.39,96.68
17,621,18,1,4743.38,23.97
18,566,197,5,4218.67,90.32
19,702,63,9,5153.0,38.85
20,403,475,5,5621.12,75.67
21,305,108,3,3806.55,87.95
22,786,330,7,1680.52,8.01
23,799,482,8,2507.12,84.12
24,735,217,2,4205.97,50.63
25,361,216,10,3308.98,32.68
26,712,15,1,1143.25,44.34
27,657,70,1,3788.36,31.37
28,85,57,3,4295.71,76.76
29,665,391,3,4130.23,79.26
30,328,232,8,844.38,17.35
31,608,424,6,1232.05,41.45
32,187,202,7,5311.83,22.45
33,24,473,9,3778.43,90.68
34,474,102,5,1054.1,40.1
35,440,308,5,5750.3,17.01
36,581,61,1,2639.19,92.0
37,465,424,8,4295.7,19.05
38,273,148,8,2616.29,20.66
39,221,422,5,1176.71,18.04
40,150,15,5,1451.14,45.1
41,255,190,10,2776.08,1.03
42,137,447,6,2415.45,21.22
43,393,363,7,1574.54,9.53
44,61,27,6,2852.05,35.43
45,621,481,10,4868.63,0.54
46,517,318,7,2398.45,37.09
47,573,22,10,1060.71,49.28
48,348,450,8,1938.04,53.04
49,146,134,2,5872.17,49.92
50,288,383,6,1733.41,87.69
51,628,425,5,2642.86,16.5
52,755,252,3,5540.97,63.67
53,451,28,4,1417.67,3.59
54,267,84,8,5971.45,92.72
55,42,227,6,3387.08,45.78
56,116,434,3,606.79,86.82
57,185,428,3,4944.3,56.32
58,680,300,4,5831.18,52.6
59,585,93,7,1514.64,49.81
60,97,455,-6,4103.81,68.06
61,404,192,10,681.12,32.35
62,30,42,8,3974.26,45.41
63,276,305,1,310.89,62.24
64,464,167,10,5186.51,80.16
65,290,166,1,3305.58,60.23
66,95,205,5,5792.04,86.55
67,92,11,4,4687.98,28.49
68,771,489,3,2970.53,43.24
69,318,463,10,4009.85,83.21
70,525,103,8,2359.13,26.85
71,615,217,2,4875.42,61.39
72,445,323,7,3104.38,97.33
73,693,115,3,3187.31,64.72
74,86,149,8,5447.89,47.76
75,153,66,5,3162.4,29.55
76,49,283,2,3104.82,51.07
77,423,49,8,3432.45,25.34
78,261,300,2,146.8,74.05
79,474,92,3,319.29,41.63
80,722,153,6,2757.24,67.03
81,639,414,5,5512.77,81.0
82,217,95,2,3644.11,87.16
83,109,223,-9,2399.86,1.33
84,672,245,8,5219.24,96.58
85,617,372,8,4888.14,61.67
86,708,345,7,571.43,13.51
87,196,58,1,1169.92,2.68
88,493,333,3,2642.94,62.61
89,552,98,2,2807.38,47.4
90,23,60,3,4445.75,44.53
91,497,242,1,3532.1,20.13
92,584,425,7,96.85,63.04
93,731,222,7,4435.62,59.58
94,568,149,1,2942.3,59.1
95,627,479,8,411.19,1.9
96,591,162,9,5362.62,41.71
97,485,60,8,3894.77,44.83
98,447,11,3,1193.6,34.38
99,238,260,4,4125.6,92.17
100,733,337,8,1795.69,71.14
101,427,427,6,4808.54,84.45
102,637,107,5,562.84,48.29
103,178,103,3,650.38,41.6
104,506,156,4,329.94,1.81
105,268,183,3,5163.8,50.35
106,66,173,7,1398.81,56.2
107,499,133,6,4627.77,77.01
108,571,137,3,5248.49,60.43
109,107,362,1,2655.07,45.71
110,774,57,2,3677.45,85.84
111,105,422,9,677.2,62.99
112,211,467,6,1788.13,44.15
113,519,256,2,2214.23,81.92
114,126,435,4,2523.71,76.9
115,252,428,8,3054.89,8.52
116,382,367,7,4006.72,15.16
117,772,272,7,871.07,42.88
118,420,460,8,3121.12,68.22
