order_id,customer_id,order_date,status,region_code
668,438,2025-11-02 10:34:05,PLACED,WEST
749,499,2025-11-07 03:28:21,DELIVERED,SOUTH
355,421,2025-09-05 07:39:13,DELIVERED,SOUTH
112,55,2025-12-18 19:11:26,DELIVERED,NORTH
117,202,2025-09-25 14:36:41,PLACED,EAST
696,,2025-09-01 01:34:30,CANCELLED,WEST
357,314,2025-11-28 01:13:14,SHIPPED,SOUTH
689,303,2025-10-30 13:33:21,RETURNED,EAST
438,351,2026-01-15 15:49:40,CANCELLED,WEST
140,248,2026-02-10 18:22:43,PLACED,SOUTH
670,268,2025-12-08 01:19:42,PLACED,NORTH
437,411,2025-12-26 11:01:16,CANCELLED,NORTH
608,,2026-07-21 04:50:13,RETURNED,EAST
622,307,2025-10-14 00:00:00,SHIPPED,EAST
546,90,2026-06-14 20:12:08,PLACED,SOUTH
643,211,2026-01-17 18:17:58,SHIPPED,NORTH
56,494,2025-09-26 10:51:19,DELIVERED,SOUTH
394,432,2026-05-02 16:33:46,DELIVERED,WEST
208,392,2026-02-01 15:48:33,PLACED,WEST
385,253,2026-05-15 03:48:56,RETURNED,WEST
41,303,2026-03-27 06:56:06,RETURNED,WEST
306,12,2025-11-30 22:08:22,DELIVERED,SOUTH
198,493,2026-02-22 09:52:09,CANCELLED,NORTH
569,223,2025-10-05 03:25:30,RETURNED,SOUTH
589,273,2026-03-23 15:51:00,RETURNED,EAST
644,258,2025-12-03 19:26:23,SHIPPED,NORTH
144,496,2026-08-07 12:47:35,DELIVERED,EAST
255,317,2026-03-23 13:49:20,RETURNED,WEST
442,434,2025-11-28 14:39:20,DELIVERED,SOUTH
254,36,2025-08-30 07:41:40,DELIVERED,NORTH
170,131,2026-05-24 08:04:16,SHIPPED,NORTH
279,307,2026-03-07 11:37:54,RETURNED,SOUTH
791,50,2026-03-31 02:56:53,RETURNED,SOUTH
698,200,2025-09-16 17:48:44,PLACED,WEST
289,360,2026-07-26 03:22:02,PLACED,EAST
314,435,2026-04-23 15:33:14,PLACED,WEST
697,357,2025-10-01 14:41:25,PLACED,EAST
123,372,2025-11-15 12:28:06,DELIVERED,EAST
785,25,2026-01-08 08:13:38,DELIVERED,EAST
392,384,2026-02-02 18:57:57,PLACED,NORTH
566,327,2025-08-25 14:35:01,SHIPPED,SOUTH
340,306,2026-03-09 11:04:32,SHIPPED,SOUTH
417,140,2025-11-16 21:20:42,CANCELLED,SOUTH
183,41,2025-10-26 20:06:32,CANCELLED,WEST
534,88,2026-03-17 22:26:38,PLACED,NORTH
50,446,2026-02-03 04:02:17,CANCELLED,EAST
319,244,2026-06-24 09:33:40,PLACED,WEST
128,329,2026-06-18 00:50:26,DELIVERED,SOUTH
352,286,2026-07-13 11:20:50,PLACED,SOUTH
80,75,2025-12-21 22:26:14,DELIVERED,SOUTH
253,381,2026-02-13 11:42:43,DELIVERED,WEST
735,422,2025-10-10 08:15:14,DELIVERED,SOUTH
781,,2026-06-11 16:18:19,CANCELLED,WEST
95,275,2025-10-02 15:31:55,DELIVERED,SOUTH
58,433,2025-08-13 13:41:39,RETURNED,WEST
316,358,2026-04-28 02:11:24,PLACED,WEST
465,9,2026-06-18 06:15:09,CANCELLED,WEST
86,467,2026-03-30 04:55:33,DELIVERED,SOUTH
4,292,2026-01-04 17:16:22,CANCELLED,SOUTH
384,,2026-04-06 19:20:59,CANCELLED,NORTH
490,387,2026-04-11 13:27:19,PLACED,SOUTH
655,103,2025-12-29 13:18:42,DELIVERED,NORTH
583,239,2026-06-07 08:47:50,DELIVERED,EAST
181,494,2026-03-04 11:54:59,PLACED,SOUTH
335,103,2026-01-31 09:38:17,RETURNED,EAST
283,33,2026-03-19 06:18:03,RETURNED,WEST
554,,2026-02-22 19:41:29,RETURNED,SOUTH
222,256,2026-03-27 17:26:12,RETURNED,EAST
550,321,2025-08-21 12:02:26,DELIVERED,NORTH
659,367,2025-09-27 17:06:32,DELIVERED,SOUTH
195,287,2025-12-15 00:00:00,DELIVERED,EAST
618,7,2026-05-07 00:34:33,DELIVERED,EAST
34,347,2026-05-04 11:02:44,PLACED,NORTH
607,486,2026-07-13 09:04:29,DELIVERED,SOUTH
204,383,2026-01-06 11:45:59,SHIPPED,WEST
586,386,2025-08-23 11:41:57,SHIPPED,SOUTH
535,305,2026-04-22 05:37:54,SHIPPED,NORTH
701,434,2026-03-30 20:45:45,PLACED,SOUTH
738,475,2026-07-06 09:04:59,CANCELLED,NORTH
220,285,2026-06-17 17:19:20,CANCELLED,SOUTH
