product_id,product_name,category,subcategory,cost_price
1,Her Cameras,Electronics,Cameras,3741.73
2,What Kids,Clothing,Kids,428.08
3,State Laptops,Electronics,Laptops,1779.41
4,Executive Women,Clothing,Women,1026.5
5,Behind Men,Clothing,Men,3875.6
6,Above Academic,Books,Academic,3811.39
7,High Comics,Books,Comics,3154.73
8,Protect Footwear,Clothing,Footwear,3175.36
9,Spring Furniture,Home,Furniture,417.24
10,Decade Academic,Books,Academic,4166.9
11,Red Mobiles,Electronics,Mobiles,2559.99
12,Concern Fiction,Books,Fiction,4058.59
13,Large Kids,Clothing,Kids,2531.77
14,Surface Cameras,Electronics,Cameras,4912.81
15,Hair Laptops,Electronics,Laptops,4955.38
16,Must Kids,Clothing,Kids,1450.32
17,Affect Comics,Books,Comics,309.21
18,Husband Furniture,Home,Furniture,2811.92
19,Stock Comics,Books,Comics,4265.25
20,Point Kids,Clothing,Kids,4587.89
21,Class Bedding,Home,Bedding,1582.43
22,Effort Comics,Books,Comics,3367.08
23,Avoid Cameras,Electronics,Cameras,140.24
24,Maybe Kitchen,Home,Kitchen,1741.58
25,Stop Non-Fiction,Books,Non-Fiction,730.95
26,Each Accessories,Electronics,Accessories,550.65
27,Box Accessories,Electronics,Accessories,3109.26
28,Beautiful Non-Fiction,Books,Non-Fiction,4165.16
29,Most Footwear,Clothing,Footwear,3398.0
30,Season Footwear,Clothing,Footwear,3774.34
31,Respond Non-Fiction,Books,Non-Fiction,1581.87
32,Should Non-Fiction,Books,Non-Fiction,4738.29
33,Image Academic,Books,Academic,3901.71
34,Yard Non-Fiction,Books,Non-Fiction,4016.23
35,Population Kids,Clothing,Kids,4376.88
36,Plant Mobiles,Electronics,Mobiles,3827.43
37,On Bedding,Home,Bedding,779.38
38,Learn Fiction,Books,Fiction,1149.09
39,Source Comics,Books,Comics,2103.74
40,Next Comics,Books,Comics,4972.9
41,Majority Kitchen,Home,Kitchen,4203.92
42,Public Kitchen,Home,Kitchen,4591.11
43,Summer Non-Fiction,Books,Non-Fiction,2372.1
44,Family Mobiles,Electronics,Mobiles,4183.07
45,Those Fiction,Books,Fiction,1226.32
46,Raise Mobiles,Electronics,Mobiles,3212.81
47,Its Fiction,Books,Fiction,3003.86
