order_id,product_id,customer_id,quantity,price,order_date,order_status,channel,discount
1,29,1950,4,1701.72,2024-02-29,Cancelled,Web,0.05
2,98,1491,5,1643.01,2024-01-28,Completed,Store,0.16
3,2,1518,4,1948.47,2024-01-10,Completed,Store,0.18
4,33,440,3,1911.69,2024-02-01,Completed,Web,0.07
5,1,1011,4,795.88,2024-02-11,Completed,App,0.25
6,31,741,3,625.85,2024-01-31,Completed,Store,0.15
7,35,201,3,174.15,2024-01-14,Completed,Web,0.22
8,100,490,5,823.93,2024-02-29,Cancelled,Web,0.06
9,39,269,1,1880.09,2024-02-10,Cancelled,Web,0.27
10,50,1203,3,522.32,2024-01-12,Completed,App,0.19
11,4,1163,5,1101.87,2024-01-21,Cancelled,App,0.04
12,81,1852,1,624.04,2024-02-03,Completed,Web,0.12
13,63,267,5,1986.13,2024-02-01,Cancelled,Web,0.02
14,53,874,4,1955.86,2024-02-25,Cancelled,Web,0.19
15,1,1378,5,1218.81,2024-01-04,Cancelled,App,0.11
16,54,986,2,752.78,2024-01-02,Completed,App,0.18
17,86,1473,3,1750.98,2024-02-06,Completed,App,0.19
18,93,597,5,688.19,2024-01-24,Completed,Web,0.24
19,29,236,5,418.22,2024-02-18,Completed,Web,0.03
20,77,475,2,341.27,2024-02-17,Completed,App,0.18
21,18,813,2,1238.8,2024-02-07,Cancelled,Web,0.01
22,88,270,2,347.58,2024-02-12,Completed,Web,0.24
23,15,396,3,1087.24,2024-02-24,Completed,Web,0.03
24,1,1940,4,330.34,2024-02-28,Cancelled,Web,0.08
25,23,716,2,1402.9,2024-02-05,Cancelled,App,0.01
26,96,581,2,1173.92,2024-01-09,Completed,Store,0.17
27,33,143,5,759.26,2024-01-25,Cancelled,App,0.22
28,39,1149,3,1614.42,2024-01-02,Cancelled,App,0.15
29,9,1627,3,1595.8,2024-02-11,Completed,Web,0.07
30,66,1640,1,1110.04,2024-02-25,Cancelled,Store,0.17
31,60,1424,5,1163.74,2024-01-06,Completed,App,0.02
32,51,1058,2,136.91,2024-01-10,Completed,Web,0.11
33,84,268,3,101.28,2024-01-07,Completed,Store,0.1
34,86,1686,4,1649.51,2024-02-05,Cancelled,Web,0.03
35,67,196,2,682.89,2024-02-28,Completed,Web,0.16
36,47,1487,1,1900.13,2024-01-30,Completed,Web,0.03
37,98,1985,3,1702.56,2024-02-09,Cancelled,App,0.16
38,56,1070,1,229.1,2024-02-07,Completed,Web,0.25
39,66,55,1,117.89,2024-01-01,Completed,Web,0.07
40,19,560,5,1104.36,2024-01-28,Completed,App,0.04
41,76,1885,1,862.34,2024-01-30,Cancelled,Web,0.01
42,41,576,4,1402.75,2024-01-08,Completed,App,0.23
43,86,650,3,1819.91,2024-02-28,Completed,Web,0.02
44,34,417,1,1967.02,2024-02-27,Cancelled,App,0.17
45,48,1462,2,1761.18,2024-02-08,Completed,App,0.09
46,84,1981,2,1922.04,2024-02-09,Completed,Store,0.01
47,22,622,2,373.72,2024-02-27,Completed,App,0.12
48,25,991,4,871.79,2024-02-10,Cancelled,Store,0.03
49,33,1838,2,707.39,2024-01-13,Cancelled,Store,0.02
50,99,1020,4,714.99,2024-01-22,Completed,Store,0.08
51,92,470,1,1247.0,2024-02-04,Completed,Store,0.06
52,23,1255,5,358.77,2024-01-02,Completed,App,0.03
53,18,747,5,1385.57,2024-02-19,Cancelled,Web,0.01
54,86,114,2,420.33,2024-01-01,Cancelled,Store,0.26
55,21,1394,4,324.28,2024-01-15,Cancelled,Store,0.03
56,82,891,5,332.01,2024-01-17,Completed,Web,0.28
57,23,22,2,1603.94,2024-02-18,Cancelled,Web,0.11
