order_id,payment_amount,payment_method,payment_date
16228,154.69,NetBanking,2024-01-10
11388,1415.76,Wallet,2024-01-18
14772,373.19,NetBanking,2024-01-09
3002,1679.11,NetBanking,2024-02-24
8702,1604.23,Wallet,2024-01-12
2713,611.89,Wallet,2024-01-04
16472,1772.76,NetBanking,2024-02-12
3604,1125.51,Wallet,2024-01-03
16367,174.84,Wallet,2024-01-19
18286,1137.77,UPI,2024-01-17
13003,1884.42,NetBanking,2024-02-14
6510,182.29,Card,2024-02-12
3077,940.6,NetBanking,2024-01-05
12040,1635.14,Wallet,2024-01-18
14327,610.61,UPI,2024-01-31
9440,1557.6,Card,2024-02-24
19902,399.55,Card,2024-02-14
4066,553.61,NetBanking,2024-02-29
15922,1434.6,Card,2024-02-18
15860,1892.2,UPI,2024-02-24
18540,1282.27,Card,2024-01-17
16773,1846.4,NetBanking,2024-01-09
3842,167.91,Wallet,2024-02-11
15379,1153.6,UPI,2024-01-24
15662,880.19,NetBanking,2024-02-23
6916,890.81,Wallet,2024-01-23
12345,146.76,Card,2024-02-28
14764,1470.1,Card,2024-03-01
8488,506.14,Wallet,2024-02-11
17558,562.31,NetBanking,2024-02-25
8516,106.63,Card,2024-01-30
10315,332.69,Card,2024-01-07
12721,1012.28,NetBanking,2024-02-26
1469,743.54,UPI,2024-02-08
7045,1928.19,UPI,2024-01-18
5015,1302.75,Wallet,2024-02-16
14901,904.99,Card,2024-02-27
14372,1805.99,UPI,2024-01-16
13454,1180.89,Wallet,2024-02-08
2056,470.18,Wallet,2024-02-09
1052,1953.47,Card,2024-02-05
3987,1122.67,UPI,2024-02-13
12093,907.25,UPI,2024-02-18
3141,1697.15,UPI,2024-01-17
18369,1432.78,NetBanking,2024-01-27
4929,1067.77,UPI,2024-02-29
14480,1798.63,Wallet,2024-01-28
11698,437.08,Card,2024-01-11
6258,782.44,UPI,2024-02-28
9196,1242.79,UPI,2024-01-19
910,1823.92,Wallet,2024-01-04
1234,195.93,NetBanking,2024-01-13
10749,1842.94,NetBanking,2024-02-22
3893,377.2,Card,2024-02-26
8148,1675.22,NetBanking,2024-02-26
14775,1072.33,NetBanking,2024-01-09
14415,381.33,Card,2024-01-31
2580,110.57,UPI,2024-01-09
11435,1585.69,NetBanking,2024-01-23
10124,186.64,Wallet,2024-02-18
15854,1763.17,Wallet,2024-02-18
848,148.77,UPI,2024-01-23
13310,1529.16,Card,2024-01-27
2969,1551.22,Card,2024-01-09
8920,1112.61,UPI,2024-02-06
14044,1805.14,UPI,2024-01-03
17097,408.2,NetBanking,2024-01-21
2228,353.67,Wallet,2024-01-27
2500,218.07,Card,2024-02-28
7279,1079.52,Card,2024-02-18
19076,1434.71,NetBanking,2024-02-17
2848,1682.62,UPI,2024-02-19
7137,715.65,Card,2024-02-16
11921,102.7,UPI,2024-01-08
1802,1045.25,UPI,2024-02-15
8221,369.77,NetBanking,2024-02-11
6891,1170.94,UPI,2024-01-06
4655,1969.74,Card,2024-02-10
10313,1117.64,NetBanking,2024-02-15
6201,1855.99,NetBanking,2024-01-10
7348,497.2,Card,2024-01-30
13770,325.42,UPI,2024-02-11
12209,888.9,NetBanking,2024-01-25
6351,1509.42,NetBanking,2024-01-03
5247,280.07,Wallet,2024-01-13
17621,1529.2,Wallet,2024-01-09
18033,1521.38,UPI,2024-01-11
11288,1932.99,Card,2024-01-22
8963,1714.71,Card,2024-02-13
19598,851.76,Card,2024-03-01
17905,882.5,Card,2024-01-14
1846,745.31,Card,2024-02-21
9817,1265.54,Card,2024-01-20
17389,684.48,NetBanking,2024-02-08
6390,1694.58,NetBanking,2024-01-06
10213,1922.36,Card,2024-02-05
15010,1880.24,Wallet,2024-01-10
6314,447.06,Wallet,2024-02-17
17995,1582.72,Wallet,2024-02-02
16150,710.79,Wallet,2024-02-09
5476,1424.69,Wallet,2024-01-20
5580,951.32,UPI,2024-02-14
5230,1229.79,NetBanking,2024-01-28
18579,1519.41,UPI,2024-01-29
15282,207.8,NetBanking,2024-02-24
13470,1646.25,UPI,2024-02-15
12360,1880.11,NetBanking,2024-02-09
1903,1613.4,Card,2024-01-11
6530,1817.44,Card,2024-02-24
10106,1458.73,Wallet,2024-01-04
1818,861.05,Card,2024-01-24
15646,1969.35,NetBanking,2024-01-21
10113,240.53,Wallet,2024-01-01
2223,1544.07,UPI,2024-02-08
1964,1907.54,Card,2024-02-13
4823,523.98,UPI,2024-01-23
4051,104.81,Card,2024-01-31
12246,1238.62,Card,2024-01-11
7426,490.28,Card,2024-02-27
6739,1230.45,UPI,2024-02-10
7131,1148.16,UPI,2024-01-10
5500,1418.3,Card,2024-01-14
14057,103.43,NetBanking,2024-01-06
99,984.54,NetBanking,2024-01-04
11781,1506.01,Wallet,2024-01-09
14601,1677.59,Card,2024-01-29
8504,1536.44,NetBanking,2024-01-31
2094,777.96,Card,2024-01-22
4983,1099.28,Wallet,2024-02-28
10780,1121.8,UPI,2024-02-03
17876,913.57,Card,2024-02-03
17866,713.74,Wallet,2024-01-10
6973,1980.05,NetBanking,2024-01-06
16691,1144.22,NetBanking,2024-01-18
1281,946.9,Wallet,2024-01-01
3948,1591.28,Wallet,2024-02-27
5798,860.48,Card,2024-02-28
3573,1610.68,UPI,2024-02-23
18051,489.08,Card,2024-02-01
10244,1101.68,Wallet,2024-01-29
6219,336.98,Card,2024-01-08
19717,465.84,Wallet,2024-01-18
2586,357.73,UPI,2024-01-19
10286,1305.3,UPI,2024-02-04
17246,1793.73,Card,2024-01-26
4403,1370.71,UPI,2024-02-26
6812,1347.54,Wallet,2024-01-01
12262,1162.58,UPI,2024-01-29
17739,519.18,Wallet,2024-02-04
17411,1128.97,Card,2024-01-14
16457,1039.76,Card,2024-01-26
14038,1956.44,NetBanking,2024-02-18
501,386.71,NetBanking,2024-01-12
6943,1749.32,Card,2024-01-23
19528,791.26,Card,2024-02-15
1390,167.36,UPI,2024-02-11
149,1270.27,NetBanking,2024-02-22
11754,1703.95,Wallet,2024-01-21
842,934.58,NetBanking,2024-02-01
14167,744.76,Wallet,2024-01-07
11420,1841.26,Wallet,2024-02-26
13231,669.27,Card,2024-02-28
19536,1318.3,UPI,2024-01-27
13617,951.5,Card,2024-01-19
6996,836.06,Card,2024-02-27
16488,293.49,Card,2024-01-06
6915,1468.35,Card,2024-02-22
8414,112.89,UPI,2024-01-07
16412,499.0,UPI,2024-01-24
1251,636.6,Wallet,2024-02-17
864,1839.59,UPI,2024-02-26
17377,986.47,Wallet,2024-02-25
17156,632.08,Card,2024-02-02
6105,371.53,NetBanking,2024-01-31
15402,1011.81,NetBanking,2024-01-24
12318,442.83,UPI,2024-01-20
5619,512.33,UPI,2024-01-13
12627,733.15,UPI,2024-02-25
18258,1440.44,Wallet,2024-02-21
6041,238.58,Card,2024-01-03
3936,497.31,UPI,2024-02-03
17343,598.56,UPI,2024-02-09
4526,1586.08,UPI,2024-02-04
3295,768.35,Wallet,2024-01-16
7890,362.17,UPI,2024-02-18
15603,336.53,Wallet,2024-01-06
1219,759.03,NetBanking,2024-01-29
