product_id,price,category,effective_date,end_date,is_current
1,1823.07,Home,2023-01-01,2023-12-31,0
1,1781.59,Home,2024-01-01,,1
2,1974.03,Home,2023-01-01,2023-12-31,0
2,1837.12,Home,2024-01-01,,1
3,1656.6,Electronics,2023-01-01,2023-12-31,0
3,1582.66,Electronics,2024-01-01,,1
4,803.68,Home,2023-01-01,2023-12-31,0
4,702.12,Home,2024-01-01,,1
5,297.5,Clothing,2023-01-01,2023-12-31,0
5,368.14,Clothing,2024-01-01,,1
6,492.35,Grocery,2023-01-01,2023-12-31,0
6,548.4,Grocery,2024-01-01,,1
7,459.3,Clothing,2023-01-01,2023-12-31,0
7,541.42,Clothing,2024-01-01,,1
8,666.8,Grocery,2023-01-01,2023-12-31,0
8,712.46,Grocery,2024-01-01,,1
9,1859.34,Sports,2023-01-01,2023-12-31,0
9,2157.86,Sports,2024-01-01,,1
10,1062.12,Grocery,2023-01-01,2023-12-31,0
10,1271.61,Grocery,2024-01-01,,1
11,380.28,Electronics,2023-01-01,2023-12-31,0
11,465.16,Electronics,2024-01-01,,1
12,209.6,Sports,2023-01-01,2023-12-31,0
12,192.4,Sports,2024-01-01,,1
13,961.69,Sports,2023-01-01,2023-12-31,0
13,842.75,Sports,2024-01-01,,1
14,787.4,Home,2023-01-01,2023-12-31,0
14,797.83,Home,2024-01-01,,1
15,723.76,Sports,2023-01-01,2023-12-31,0
15,859.85,Sports,2024-01-01,,1
16,580.76,Clothing,2023-01-01,2023-12-31,0
16,603.33,Clothing,2024-01-01,,1
17,1617.4,Home,2023-01-01,2023-12-31,0
17,1623.57,Home,2024-01-01,,1
18,992.47,Sports,2023-01-01,2023-12-31,0
18,926.46,Sports,2024-01-01,,1
19,425.97,Electronics,2023-01-01,2023-12-31,0
19,477.44,Electronics,2024-01-01,,1
20,890.32,Clothing,2023-01-01,2023-12-31,0
20,967.5,Clothing,2024-01-01,,1
21,511.31,Grocery,2023-01-01,2023-12-31,0
21,500.9,Grocery,2024-01-01,,1
